"X","id","itemTime","trial","RT","number_chosen","number_not_chosen","quantifier","clicked_left","language","comments","engagement","difficulty","time","time_minutes","quantifier_num","chose_higher","higher","lower","id_int","pred_barker","pred_barker_chosen","pred_barker_not_chosen","pred_distance","pred_distance_chosen","pred_distance_not_chosen","pred_closer","pred_closer_chosen","pred_closer_not_chosen","mode_barker","mode_distance","mode_closer","a_barker","a_distance","a_closer","b_barker","b_distance","b_closer"
29,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877617735,29,3831,205,225,"Half",1,"English",NA,8,6,757997,12.6332833333333,4,0,225,205,1,0.501,0.499,0.501,0.518,0.482,0.518,0.714,0.286,0.714,145,212,198,5.325,63.015,49.07,5.544,61.622,53.97
30,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877621495,30,3755,205,211,"Half",0,"English",NA,8,6,757997,12.6332833333333,4,0,211,205,1,0.5,0.5,0.5,0.482,0.518,0.482,0.714,0.286,0.714,145,212,198,5.325,63.015,49.07,5.544,61.622,53.97
31,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877624231,31,2728,205,27,"Half",1,"English",NA,8,6,757997,12.6332833333333,4,1,205,27,1,0.89,0.89,0.11,0.896,0.896,0.104,0.714,0.714,0.286,145,212,198,5.325,63.015,49.07,5.544,61.622,53.97
32,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877628277,32,4043,200,205,"Half",0,"English",NA,8,6,757997,12.6332833333333,4,0,205,200,1,0.499,0.501,0.499,0.485,0.515,0.485,0.714,0.286,0.714,145,212,198,5.325,63.015,49.07,5.544,61.622,53.97
33,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877631758,33,3477,189,200,"Half",1,"English",NA,8,6,757997,12.6332833333333,4,0,200,189,1,0.497,0.503,0.497,0.467,0.533,0.467,0.286,0.714,0.286,145,212,198,5.325,63.015,49.07,5.544,61.622,53.97
34,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877635621,34,3859,189,252,"Half",0,"English",NA,8,6,757997,12.6332833333333,4,0,252,189,1,0.51,0.49,0.51,0.551,0.449,0.551,0.714,0.286,0.714,145,212,198,5.325,63.015,49.07,5.544,61.622,53.97
35,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877638551,35,2925,189,194,"Half",0,"English",NA,8,6,757997,12.6332833333333,4,0,194,189,1,0.498,0.502,0.498,0.485,0.515,0.485,0.286,0.714,0.286,145,212,198,5.325,63.015,49.07,5.544,61.622,53.97
36,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877642302,36,3745,176,189,"Half",1,"English",NA,8,6,757997,12.6332833333333,4,0,189,176,1,0.493,0.507,0.493,0.461,0.539,0.461,0.286,0.714,0.286,145,212,198,5.325,63.015,49.07,5.544,61.622,53.97
37,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877646494,37,4188,176,182,"Half",1,"English",NA,8,6,757997,12.6332833333333,4,0,182,176,1,0.496,0.504,0.496,0.482,0.518,0.482,0.286,0.714,0.286,145,212,198,5.325,63.015,49.07,5.544,61.622,53.97
38,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877649370,38,2873,157,176,"Half",0,"English",NA,8,6,757997,12.6332833333333,4,0,176,157,1,0.484,0.516,0.484,0.443,0.557,0.443,0.286,0.714,0.286,145,212,198,5.325,63.015,49.07,5.544,61.622,53.97
