"X","id","itemTime","trial","RT","number_chosen","number_not_chosen","quantifier","clicked_left","language","comments","engagement","difficulty","time","id_int","time_minutes","quantifier_num","chose_higher","higher","lower"
43,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510881543,43,183,317,252,"Most",1,"english",NA,3,0,162666,46,2.7111,7,1,317,252
44,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510881713,44,169,335,317,"Most",1,"english",NA,3,0,162666,46,2.7111,7,1,335,317
45,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510881883,45,169,393,335,"Most",1,"english",NA,3,0,162666,46,2.7111,7,1,393,335
46,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510891911,46,10027,373,393,"Most",1,"english",NA,3,0,162666,46,2.7111,7,0,393,373
47,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510892065,47,153,373,395,"Most",1,"english",NA,3,0,162666,46,2.7111,7,0,395,373
48,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510892605,48,539,378,373,"Most",0,"english",NA,3,0,162666,46,2.7111,7,1,378,373
49,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510893253,49,647,38,378,"Most",1,"english",NA,3,0,162666,46,2.7111,7,0,378,38
50,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510893555,50,301,45,38,"Most",1,"english",NA,3,0,162666,46,2.7111,7,1,45,38
61,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510899791,11,115,240,148,"Few",1,"english",NA,3,0,162666,46,2.7111,3,1,240,148
62,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510899929,12,137,240,214,"Few",1,"english",NA,3,0,162666,46,2.7111,3,1,240,214
63,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510900083,13,153,240,239,"Few",1,"english",NA,3,0,162666,46,2.7111,3,1,240,239
64,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510900215,14,131,337,240,"Few",1,"english",NA,3,0,162666,46,2.7111,3,1,337,240
65,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510900361,15,145,53,337,"Few",1,"english",NA,3,0,162666,46,2.7111,3,0,337,53
66,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510900532,16,170,67,53,"Few",1,"english",NA,3,0,162666,46,2.7111,3,1,67,53
67,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510900753,17,217,67,48,"Few",1,"english",NA,3,0,162666,46,2.7111,3,1,67,48
68,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510900787,18,32,396,67,"Few",1,"english",NA,3,0,162666,46,2.7111,3,1,396,67
69,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510900949,19,161,407,396,"Few",1,"english",NA,3,0,162666,46,2.7111,3,1,407,396
70,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510901133,20,183,407,189,"Few",1,"english",NA,3,0,162666,46,2.7111,3,1,407,189
71,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510901281,21,146,409,407,"Few",1,"english",NA,3,0,162666,46,2.7111,3,1,409,407
